prompt_id,expected_markers,matched_markers,marker_match_rate,mode
E001_J1_SummaryAllowed,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_J2_DetailBlocked,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_C1,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_C2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_G1,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_G2,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_D1,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_D2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_H1,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_H2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_H3,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_F1,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_F2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_B1,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_B2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_A1,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX,LM005_ORDERED_RESPONSE_FLOW",LM005_ORDERED_RESPONSE_FLOW,0.33,control_weak
E001_A2,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_I1_Query,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_E1,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_E2,LM001_RESPONSE_PREFIX,,0.00,control_weak
E001_E3,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
E001_I2_Transition,"LM001_RESPONSE_PREFIX,LM002_CONCLUSION_SUFFIX",,0.00,control_weak
